lat_depart,lon_depart,lat_destination,lon_destination,distance_km
36.836376,10.159377,36.788821,10.17883,7.605
36.873349,10.194348,35.282697,10.953491,196.096
36.809967,10.17941,36.825374,10.207094,3.672
36.829063,10.211471,36.36062,9.182278,109.458
33.118919,9.05089,34.429501,10.074391,198.122
34.735612,10.755956,36.829858,10.156812,248.313
34.743699,10.75525,36.871594,10.196255,274.576
33.116756,9.045908,36.927532,10.273944,497.336
36.403687,10.702559,36.762086,10.223931,65.505
36.842101,10.13576,36.832553,10.229171,10.687
36.860821,10.143431,33.322224,9.879147,412.132
36.863175,10.218794,36.046424,10.506726,106.651
36.838967,10.090205,36.511111,10.504676,58.986
34.427975,10.076675,36.880763,10.155455,314.219
36.82669,10.160111,36.890028,10.184867,9.241
36.7628,10.226098,36.661482,9.079127,118.244
36.814717,10.233085,36.832662,10.157907,9.467
36.845535,10.133013,36.558542,10.674105,68.716
33.886751,10.100191,36.4072,10.701585,309.645
36.876156,10.103435,36.646255,10.738586,72.346
36.36254,9.180826,36.926251,10.270594,128.777
34.375655,8.829061,37.274014,9.866091,354.402
35.286701,10.950213,36.729045,10.738405,168.512
36.509385,10.509403,36.401336,10.700826,25.893
36.406689,10.700176,36.476613,8.785823,189.052
36.885999,10.182344,36.835981,10.228765,8.974
36.407201,10.705045,36.873862,10.339143,71.504
37.27756,9.867516,36.049499,10.504869,159.493
36.40314,10.703907,36.76227,10.221136,64.114
34.92871,8.123656,35.672982,10.90052,308.84
36.79906,10.172163,36.86021,10.14102,9.631
33.322247,9.883058,36.836729,10.225209,414.725
36.730279,10.25047,36.883141,10.15651,23.013
34.428712,10.071868,36.846844,10.192169,309.664
36.860214,10.143004,33.317803,9.879767,437.083
36.872575,10.157797,36.82017,10.165771,7.192
33.121091,9.048018,36.886113,10.159755,494.935
36.817523,10.180272,36.558648,10.678216,64.218
36.787917,10.172258,36.815591,10.231022,7.787
35.667503,10.896469,36.51075,10.504913,109.187
36.819565,10.161566,32.93063,10.455919,483.889
36.824534,10.16863,36.791102,10.171861,5.122
36.800793,10.206849,36.362308,9.179828,123.561
36.928004,10.276397,36.823172,10.149883,18.947
36.80441,10.198833,36.408308,10.696251,70.007
32.932932,10.445327,36.18288,9.553807,416.886
36.850952,10.199443,36.471519,8.784632,150.966
36.807436,10.184007,36.806156,10.166104,2.269
35.677693,9.106561,36.823378,10.155447,182.653
35.676489,10.898017,36.84965,10.191421,163.809
34.924332,8.126841,35.924655,10.576421,289.914
36.869041,10.223012,36.80741,10.169867,11.138
36.790888,10.171903,36.88867,10.187689,14.733
36.874508,10.335479,36.181978,9.554145,116.169
36.818269,10.168895,33.877166,10.095893,361.97
36.921637,10.276082,36.510522,10.504246,55.725
36.831173,10.163767,34.348032,10.547516,294.903
36.80661,10.184905,36.850684,10.193055,6.405
36.874841,10.334694,36.860166,10.14438,19.005
36.842375,10.132925,36.817544,10.224636,11.179
36.790244,10.176492,36.659235,9.086254,108.86
37.276514,9.859191,34.342144,10.554904,360.605
36.473869,8.786257,37.270684,9.86111,146.81
35.505175,11.043151,37.273642,9.867609,244.413
36.72638,10.733591,34.926823,8.127206,344.065
36.924049,10.278291,36.182562,9.555802,122.478
36.476365,8.78311,36.814127,10.169832,150.148
36.869975,10.213904,36.647611,10.738177,61.567
36.802434,10.167404,36.825627,10.150325,4.188
35.673354,9.106723,35.280989,10.948734,186.209
34.924637,8.128592,33.319206,9.879078,281.504
35.669098,10.896925,36.880999,10.196376,156.285
36.812195,10.172669,36.85019,10.194578,5.597
36.799064,10.171177,36.786402,10.169136,1.977
36.872173,10.223658,36.8614,10.139685,9.015
36.818214,10.158874,34.928081,8.128112,307.77
36.844394,10.131717,33.887243,10.10394,375.255
36.355552,9.185588,36.797833,10.176906,114.38
34.375586,8.828903,36.835069,10.160531,337.019
34.348517,10.548685,36.651841,10.734427,275.977
36.875651,10.192481,35.498982,11.042906,182.71
33.3162,9.882219,36.733873,10.255427,440.001
36.048057,10.504796,36.819166,10.16886,100.369
36.473223,8.780822,36.81449,10.180271,141.663
36.798409,10.174793,35.276375,10.958417,203.777
36.662243,9.089036,35.502531,11.03943,256.232
36.831765,10.214587,36.733336,10.256948,15.743
36.815187,10.23172,36.874482,10.342456,14.131
36.831615,10.233954,36.046752,10.501179,93.403
34.737286,10.760365,36.476235,8.783508,298.865
36.87907,10.155204,35.673331,9.105414,194.362
36.877753,10.197456,36.401834,10.698713,78.668
37.279813,9.857989,33.879575,10.101929,433.845
36.874342,10.103331,36.929939,10.276085,19.182
36.180743,9.552862,37.276421,9.865504,138.752
36.883245,10.157339,36.823026,10.152129,8.968
36.788269,10.175683,36.649837,10.739654,59.322
34.434041,10.06796,36.86487,10.221259,293.157
35.499882,11.0412,36.504861,10.502363,140.398
36.807093,10.185954,36.876554,10.190934,9.464
35.507881,11.043261,35.923719,10.575803,75.985
35.279688,10.947385,36.360331,9.184505,220.07
36.755018,10.22785,32.929416,10.448412,475.659
36.873978,10.195489,33.319848,9.876057,444.851
36.648346,10.739003,36.659743,9.090849,168.93
36.92145,10.272907,35.498703,11.043761,189.239
34.430353,10.071494,36.409061,10.702264,250.355
36.792096,10.172585,36.666954,9.092738,107.09
36.184225,9.555722,36.471201,8.783066,94.426
36.84313,10.095228,36.876976,10.158565,8.989
34.738802,10.763805,36.89348,10.189976,262.708
33.115441,9.048796,32.92846,10.451732,143.997
35.928535,10.580158,34.928772,8.127343,288.987
34.925147,8.121795,36.805479,10.17834,306.246
32.933274,10.448703,36.812729,10.228462,491.325
36.816665,10.18237,36.798605,10.209173,3.89
32.93286,10.448732,36.820057,10.160365,508.552
36.853852,10.195766,34.357107,10.547062,319.265
36.811937,10.224464,36.871669,10.1066,16.674
36.831494,10.229473,34.740113,10.76309,265.211
36.731724,10.251129,36.872564,10.190786,19.345
36.829695,10.160118,35.676702,10.894008,157.14
36.891372,10.152,37.271668,9.87231,58.855
33.886878,10.097977,36.878304,10.339826,361.099
36.835594,10.210776,34.739697,10.760233,281.596
36.833328,10.221328,34.435252,10.071029,293.56
36.728837,10.74012,36.83418,10.153879,62.921
36.814437,10.226949,36.830321,10.160435,8.114
34.73997,10.758136,33.32152,9.884758,208.672
35.502755,11.047593,36.752598,10.226619,178.711
36.789608,10.173618,36.668819,9.085757,115.208
36.052535,10.506615,34.37286,8.832535,268.385
35.670861,10.89891,35.278891,10.953249,51.718
36.051828,10.503923,33.324155,9.884163,356.175
36.186632,9.561583,36.786829,10.177293,94.064
36.839718,10.091284,34.923688,8.118759,310.865
36.795804,10.200302,36.176696,9.551285,98.924
36.92593,10.27575,37.26851,9.871413,61.888
36.814238,10.180895,33.126174,9.048548,477.326
36.92289,10.268862,36.814567,10.180844,20.426
36.929833,10.271656,36.878296,10.152162,15.297
34.429528,10.082503,36.822728,10.165507,299.974
36.811777,10.181994,36.844201,10.092646,10.493
36.863102,10.21919,36.176853,9.556774,105.317
36.510841,10.5057,36.729249,10.732105,37.129
36.812316,10.181448,36.832217,10.227641,6.247
36.87314,10.193304,33.318335,9.886196,439.663
34.430009,10.07742,36.555179,10.676261,260.571
36.84162,10.132947,36.047938,10.505648,102.925
36.184617,9.55778,36.888523,10.187498,105.742
36.883652,10.153844,36.878038,10.196803,5.292
35.277864,10.948312,36.044832,10.508243,109.801
36.893984,10.189198,36.831151,10.230164,9.883
36.72575,10.741092,36.81782,10.230602,52.625
36.051724,10.50124,36.841568,10.134459,111.935
35.504978,11.046233,36.80551,10.184048,176.181
35.926653,10.575969,36.800498,10.171444,116.909
36.180441,9.558426,36.662078,9.081887,79.11
36.835786,10.230477,36.797901,10.202877,6.492
37.27327,9.869978,36.184401,9.558086,136.457
36.797545,10.588207,36.55679,10.676482,30.361
36.9295,10.27675,36.841824,10.13533,18.913
34.922986,8.122615,36.652718,10.733294,329.067
36.856715,10.194794,36.360544,9.180006,120.766
36.182462,9.556408,34.737558,10.764809,224.115
34.371692,8.83155,36.87121,10.195193,329.504
36.868926,10.225131,32.934769,10.452962,481.057
36.837514,10.141086,33.117964,9.048657,445.724
36.736901,10.257148,34.437564,10.077363,289.287
35.924018,10.572828,36.879176,10.102093,133.198
36.834658,10.159917,33.316618,9.882905,414.263
36.508781,10.509056,36.888306,10.156982,59.737
36.871546,10.192353,34.341478,10.548397,315.587
35.929547,10.578785,36.804454,10.179935,117.027
32.934731,10.453185,36.864563,10.141145,516.957
34.343599,10.557063,36.754065,10.229365,298.705
36.832639,10.161313,36.809229,10.178944,3.881
34.429016,10.077435,36.800755,10.207161,314.091
35.66815,9.103022,36.842933,10.092715,185.489
36.80334,10.167677,36.828552,10.20663,5.9
34.371771,8.832438,36.808126,10.188604,325.597
36.84912,10.092697,36.803145,10.208057,16.041
