distance_km,poids_kg,heure,jour_semaine,conditions_meteo,niveau_trafic,temperature,visibilite,duree_minutes
51.505,55.08,7,1,1,0.611,20.2,6467,195.62
290.673,44.17,18,2,1,0.57,10.1,3307,851.82
4.32,169.51,19,2,1,0.861,20.9,6392,87.75
3.247,132.29,9,0,1,0.718,23.0,5113,53.77
37.498,129.64,19,5,0,0.139,29.6,8334,62.28
65.731,164.38,10,3,0,0.27,19.2,9931,98.06
335.712,28.66,4,1,1,0.058,18.1,6788,213.85
110.307,32.08,21,3,0,0.399,22.7,9220,149.02
28.969,136.37,17,6,0,0.547,27.8,8228,94.78
273.534,21.37,20,2,1,0.329,17.6,3629,298.89
13.304,3.99,11,6,1,0.384,13.6,3973,58.59
19.274,110.01,8,4,1,0.227,16.3,3735,60.85
211.773,179.93,14,0,0,0.376,16.3,8043,288.46
435.432,14.26,7,2,0,0.762,19.3,8270,959.78
16.579,18.96,21,3,0,0.319,23.2,9769,49.08
154.382,38.12,14,1,0,0.462,20.6,8511,275.7
26.26,108.16,0,0,3,0.048,27.7,1681,39.29
401.16,57.12,22,5,2,0.089,3.6,2493,364.36
66.296,116.88,16,6,0,0.124,16.1,9040,96.86
153.259,118.94,19,0,0,0.558,26.7,9070,369.87
5.67,129.14,14,2,3,0.5,29.0,1038,37.64
444.464,73.97,5,3,1,0.082,20.6,6333,341.42
5.059,21.5,17,1,0,0.571,27.1,9469,39.22
25.554,165.89,1,0,0,0.016,17.6,8536,39.67
37.83,138.23,4,4,0,0.044,22.4,9131,56.09
136.635,49.98,3,2,1,0.075,23.3,5329,77.35
121.444,82.52,5,5,3,0.259,26.7,2686,155.95
142.32,163.34,14,2,0,0.267,30.9,8466,183.26
31.046,70.29,16,3,0,0.382,31.9,8678,73.99
17.665,145.74,10,3,0,0.37,25.2,8788,70.66
32.357,137.4,23,5,0,0.285,22.3,8143,59.08
26.842,65.3,22,2,0,0.094,18.8,9361,42.25
22.144,0.18,9,1,0,0.561,26.6,9340,67.77
343.071,56.83,21,5,0,0.225,16.9,9949,240.48
10.171,95.08,2,3,0,0.072,27.6,8398,28.8
447.314,155.71,7,1,1,0.525,20.4,5805,818.1
494.431,119.13,14,4,1,0.164,23.4,5495,448.29
392.274,104.31,20,1,0,0.17,16.5,8585,397.27
15.63,30.65,6,0,0,0.225,21.6,8954,52.17
392.174,76.14,0,2,0,0.095,22.8,9826,239.95
141.448,43.96,13,3,0,0.439,21.7,9390,227.85
312.271,132.63,2,5,0,0.015,32.3,8372,191.67
214.398,150.43,13,2,1,0.486,17.1,6418,371.28
33.65,124.3,7,1,0,0.509,17.3,9941,101.72
384.046,23.0,5,2,0,0.058,15.5,8638,197.46
151.711,139.47,9,6,0,0.892,31.1,9630,406.62
20.485,68.31,13,6,0,0.391,23.7,8741,51.46
32.424,107.68,15,3,0,0.197,29.6,8549,52.53
30.144,114.01,21,3,0,0.155,24.9,8665,57.77
0.901,189.62,2,1,1,0.065,17.3,3968,16.54
27.826,61.31,18,2,0,0.898,25.6,8871,112.83
185.152,148.6,22,1,0,0.072,29.8,8566,110.31
8.168,45.57,5,2,0,0.005,25.7,8561,24.21
0.984,56.94,15,3,0,0.382,34.3,8517,21.21
25.363,10.82,4,6,0,0.012,21.1,8508,22.72
17.987,172.05,13,2,0,0.422,16.2,9966,73.49
112.246,34.85,2,1,0,0.047,24.0,9216,70.96
10.95,158.27,18,5,1,0.194,13.0,2940,38.5
12.651,149.82,18,2,0,0.75,24.4,8622,88.91
13.232,50.15,2,1,3,0.002,27.5,3356,39.26
120.588,103.84,14,2,0,0.444,26.7,9300,170.92
16.76,99.14,21,3,1,0.176,18.3,5725,74.91
40.529,173.89,14,3,0,0.427,25.4,9275,81.38
28.081,24.37,20,4,1,0.166,20.6,4545,52.22
5.14,166.45,15,5,0,0.417,29.1,8850,27.28
35.233,172.82,8,6,1,0.401,16.2,6159,118.35
438.02,89.36,15,2,0,0.237,30.3,8772,402.48
60.078,148.97,22,6,0,0.082,34.8,9622,51.86
23.812,173.95,14,0,0,0.243,24.1,9479,49.61
222.842,16.16,10,6,0,0.195,25.7,9954,195.86
3.203,126.27,9,1,1,0.752,16.5,2806,63.15
14.659,86.19,7,4,0,0.051,28.6,8368,51.2
36.557,28.71,14,5,0,0.27,20.1,8019,58.18
177.611,192.41,22,2,0,0.085,21.0,8787,125.84
28.122,4.49,21,3,0,0.333,26.3,9404,43.4
145.854,160.41,7,5,0,0.216,20.0,9547,129.3
337.317,61.86,14,0,0,0.473,29.6,8184,530.7
20.321,54.58,5,2,3,0.075,29.2,4962,36.2
38.677,172.04,23,5,3,0.027,29.5,4295,50.85
15.551,127.75,11,0,0,0.365,24.4,9268,67.26
33.042,181.89,9,5,0,0.011,17.8,9937,34.95
38.001,139.33,17,3,0,0.607,29.5,9813,137.88
55.049,74.17,14,3,3,0.31,27.8,1406,122.87
419.128,18.43,6,5,0,0.236,34.4,8103,392.82
30.724,41.51,6,6,1,0.279,14.9,3208,62.98
34.725,26.45,11,6,1,0.116,18.8,2129,49.24
31.232,102.7,3,3,0,0.073,33.9,8088,36.74
429.757,85.31,3,3,1,0.015,16.7,2661,273.81
215.216,119.52,9,3,0,0.751,23.6,9624,508.12
9.525,67.85,14,3,0,0.294,16.9,8874,53.56
4.103,17.16,13,0,1,0.376,15.6,3065,30.68
439.322,144.24,9,4,0,0.064,17.1,9039,288.82
209.078,152.54,18,1,1,0.865,22.7,6560,555.04
0.741,173.99,18,5,0,0.486,17.8,9296,20.62
6.718,62.4,10,6,3,0.147,23.9,4618,32.57
11.29,151.01,3,2,0,0.059,20.7,9389,29.18
65.2,40.96,6,6,0,0.136,20.1,8671,74.82
26.888,70.9,12,6,1,0.459,16.5,5766,80.03
5.049,4.27,10,1,1,0.353,19.3,4964,20.51
13.656,33.71,16,5,0,0.233,25.2,9855,48.59
4.561,51.27,5,4,0,0.089,30.2,8154,33.2
299.666,127.1,19,2,1,0.634,19.4,3236,761.0
3.431,92.4,1,0,0,0.086,20.7,9320,24.42
452.103,90.0,18,5,0,0.045,27.1,9026,307.98
28.715,100.96,5,0,0,0.052,23.8,8899,37.33
64.088,126.21,10,0,0,0.185,26.2,8791,98.16
193.347,116.59,4,2,0,0.039,28.1,9356,112.11
348.254,165.81,23,5,3,0.109,16.4,3746,327.59
263.685,45.39,4,1,0,0.051,31.9,8207,143.21
314.733,30.94,5,6,0,0.017,27.5,9848,148.38
18.046,57.06,23,6,0,0.097,25.7,8633,40.23
30.893,155.65,16,4,0,0.24,18.2,8408,52.33
295.089,20.61,16,6,0,0.182,16.7,8328,237.05
14.309,5.43,1,3,0,0.037,19.7,8167,32.44
404.035,27.61,9,6,0,0.753,31.6,9554,865.72
29.226,105.6,3,6,0,0.024,21.0,8097,36.4
269.921,107.26,20,4,0,0.129,29.4,8596,194.01
71.132,105.26,16,6,2,0.113,3.5,2099,129.97
3.169,48.3,21,5,0,0.166,26.6,9549,27.18
27.968,126.38,4,0,1,0.004,24.2,2302,44.22
39.57,108.65,8,0,1,0.424,12.9,4924,114.44
38.281,67.87,5,3,0,0.052,22.3,9632,40.73
418.277,109.14,10,0,0,0.234,28.2,8627,336.85
322.832,87.04,20,6,3,0.254,16.1,3611,368.11
351.921,87.69,4,0,0,0.038,27.9,8741,205.81
304.004,105.94,12,2,0,0.208,20.0,8232,361.07
31.111,140.84,6,4,0,0.06,33.3,9005,40.44
485.078,197.32,21,2,1,0.355,18.2,4378,553.03
274.028,24.36,6,6,0,0.208,30.8,8053,271.51
16.227,143.42,15,4,0,0.022,23.2,9177,42.93
198.477,175.6,17,5,0,0.13,30.4,8264,136.66
28.519,69.27,16,2,1,0.288,13.8,6512,58.62
23.436,34.32,19,5,3,0.248,20.1,4784,44.2
231.63,127.83,15,5,0,0.145,27.8,8618,176.97
2.867,87.98,15,3,0,0.358,27.1,8640,31.23
4.694,48.42,3,2,0,0.029,17.8,8103,21.95
113.462,65.55,18,5,0,0.299,30.3,9020,135.79
10.009,116.71,1,0,0,0.065,27.0,9726,36.02
35.357,145.53,12,2,0,0.258,16.0,9150,67.55
352.983,23.85,3,3,0,0.094,34.7,9142,178.26
2.289,27.49,10,6,0,0.368,24.1,9241,22.88
313.113,101.51,16,4,0,0.245,26.3,8972,317.99
31.972,145.09,22,5,0,0.197,24.5,9980,48.91
28.987,154.94,12,1,1,0.233,13.6,6690,73.02
228.774,155.02,15,6,1,0.268,20.9,3131,261.29
22.078,135.21,23,5,0,0.145,28.9,9249,34.27
491.84,154.26,22,1,0,0.035,24.8,8982,267.96
39.216,163.69,4,2,0,0.035,34.1,8161,45.23
21.774,186.61,22,2,0,0.024,27.3,9201,33.22
19.16,136.27,4,0,3,0.094,29.7,1646,47.41
187.737,129.21,2,5,0,0.255,25.7,9480,224.11
33.53,157.61,5,5,3,0.09,28.9,4591,49.64
25.832,104.91,4,6,0,0.011,20.5,9656,34.99
301.179,151.48,5,4,1,0.026,23.5,5503,218.2
10.298,52.23,7,3,1,0.686,24.3,4473,89.72
27.6,184.63,22,6,0,0.094,17.3,9876,39.57
18.472,197.77,11,3,1,0.348,23.7,6403,77.99
14.791,183.46,3,0,1,0.015,23.5,3656,36.21
23.534,18.28,16,3,1,0.269,16.8,6204,42.08
9.107,14.7,13,2,1,0.221,18.1,2493,30.49
392.281,195.67,20,3,0,0.361,32.8,8918,390.42
